nation,worldCupYear,playerName,playerId,jerseyNumber,rating,position,attack,defense,isLegendary
ALG,1982,Cerbah,mehdi-cerbah,1,77,GK,0,77,false
ALG,1982,Guendouz,mahmoud-guendouz,2,77,CB,9,77,false
ALG,1982,Kouici,mustapha-kouici,3,74,CB,9,74,false
ALG,1982,Kourichi,noureddine-kourichi,4,77,CB,9,77,false
ALG,1982,Merzekane,chaabane-merzekane,5,77,RB,9,77,false
ALG,1982,Bencheikh,ali-bencheikh,6,76,RW/LW,76,9,false
ALG,1982,Assad,salah-assad,7,80,LW,80,10,false
ALG,1982,Fergani,ali-fergani,8,78,CM,35,35,false
ALG,1982,Bensaoula,tedj-bensaoula,9,78,ST,78,9,false
ALG,1982,Belloumi,lakhdar-belloumi,10,81,CM,36,36,true
ALG,1982,Madjer,rabah-madjer,11,81,ST,81,10,true
ALG,1982,Larbès,salah-larbes,12,74,RM/CM,33,33,false
ALG,1982,Yahi,hocine-yahi,13,74,CM,33,33,false
ALG,1982,Zidane,djamel-zidane,14,76,LM/CM,34,34,false
ALG,1982,Dahleb,mustapha-dahleb,15,79,CM/LM,36,36,false
ALG,1982,Mansouri,faouzi-mansouri,16,74,LB,9,74,false
ALG,1982,Horr,abdelkader-horr,17,73,CB/RM,33,73,false
ALG,1982,Maroc,karim-maroc,18,73,CM,33,33,false
ALG,1982,Tlemçani,djamel-tlemcani,19,73,RM/CM,33,33,false
ALG,1982,Bourebbou,abdelmajid-bourebbou,20,73,ST,73,9,false
ALG,1982,Amara,mourad-amara,21,73,GK,0,73,false
ALG,1982,Bentalaa,yacine-bentalaa,22,72,GK,0,72,false
ALG,2014,Si Mohamed,cedric-si-mohamed,1,73,GK,0,73,false
ALG,2014,Bougherra,madjid-bougherra,2,78,CB,9,78,false
ALG,2014,Ghoulam,faouzi-ghoulam,3,79,LB,9,79,false
ALG,2014,Belkalem,essaid-belkalem,4,74,CB,9,74,false
ALG,2014,Halliche,rafik-halliche,5,76,CB,9,76,false
ALG,2014,Mesbah,djamel-mesbah,6,75,LB/LM,34,75,false
ALG,2014,Yebda,hassan-yebda,7,76,CM,34,34,false
ALG,2014,Lacen,mehdi-lacen,8,76,CM,34,34,false
ALG,2014,Ghilas,nabil-ghilas,9,74,ST,74,9,false
ALG,2014,Feghouli,sofiane-feghouli,10,81,RM/CM,36,36,false
ALG,2014,Brahimi,yacine-brahimi,11,81,CM/LW,81,36,false
ALG,2014,Medjani,carl-medjani,12,76,CB/CM,34,76,false
ALG,2014,Slimani,islam-slimani,13,81,ST,81,10,false
ALG,2014,Bentaleb,nabil-bentaleb,14,78,CM,35,35,false
ALG,2014,Soudani,hillal-soudani,15,78,ST/LW,78,9,false
ALG,2014,Zemmamouche,mohamed-zemmamouche,16,73,GK,0,73,false
ALG,2014,Cadamuro,liassine-cadamuro,17,73,RB/CB,9,73,false
ALG,2014,Djabou,abdelmoumene-djabou,18,76,LM/LW,76,34,false
ALG,2014,Taïder,saphir-taider,19,76,CM,34,34,false
ALG,2014,Mandi,aissa-mandi,20,77,CB/RB,9,77,false
ALG,2014,Mahrez,riyad-mahrez,21,82,RW/LW,82,10,false
ALG,2014,Mostefa,mehdi-mostefa,22,74,CM/RB,33,74,false
ALG,2014,M'Bolhi,rais-mbolhi,23,80,GK,0,80,false
ARG,1974,Carnevali,daniel-carnevali,1,76,GK,0,76,false
ARG,1974,Ayala,ruben-ayala,2,80,RW/ST/LW,80,10,false
ARG,1974,Babington,carlos-babington,3,84,CM/RM,38,38,false
ARG,1974,Balbuena,agustin-balbuena,4,78,RW/ST,78,9,false
ARG,1974,Bargas,angel-bargas,5,75,CB,9,75,false
ARG,1974,Brindisi,miguel-angel-brindisi,6,83,CM/LM/RM,37,37,false
ARG,1974,Carrascosa,jorge-carrascosa,7,78,LB/CB,9,78,false
ARG,1974,Chazarreta,enrique-chazarreta,8,74,CM/RM,33,33,false
ARG,1974,Glaria,ruben-glaria,9,73,CB/CM,33,73,false
ARG,1974,Heredia,ramon-heredia,10,78,CB/RB,9,78,false
ARG,1974,Houseman,rene-houseman,11,82,RW/ST/LW,82,10,false
ARG,1974,Fillol,ubaldo-fillol,12,83,GK,0,83,false
ARG,1974,Kempes,mario-kempes,13,83,ST/LW/CM,83,37,false
ARG,1974,Perfumo,roberto-perfumo,14,81,CB,10,81,false
ARG,1974,Poy,aldo-poy,15,74,ST/RW,74,9,false
ARG,1974,Sá,francisco-sa,16,77,CB/RB,9,77,false
ARG,1974,Squeo,carlos-squeo,17,72,CM/RM,32,32,false
ARG,1974,Telch,roberto-telch,18,74,CM/LM,33,33,false
ARG,1974,Togneri,nestor-togneri,19,71,CM/CB,32,71,false
ARG,1974,Wolff,enrique-wolff,20,78,RB/RM,35,78,false
ARG,1974,Santoro,miguel-angel-santoro,21,72,GK,0,72,false
ARG,1974,Yazalde,hector-yazalde,22,81,ST/LW,81,10,false
ARG,1978,Alonso,norberto-alonso,1,77,CM/LM,35,35,false
ARG,1978,Ardiles,osvaldo-ardiles,2,86,CM/RM,39,39,false
ARG,1978,Baley,hector-baley,3,70,GK,0,70,false
ARG,1978,Bertoni,daniel-bertoni,4,81,RW/ST/LW,81,10,false
ARG,1978,Fillol,ubaldo-fillol,5,88,GK,0,88,false
ARG,1978,Gallego,americo-gallego,6,81,CM/RM,36,36,false
ARG,1978,L. Galván,luis-galvan,7,80,CB,10,80,false
ARG,1978,R. Galván,ruben-galvan,8,74,CM/CB,33,74,false
ARG,1978,Houseman,rene-houseman,9,80,RW/ST/LW,80,10,false
